"ParticipantID","Age","Gender","UKdata_FirstLanguage","Site","EducationScore","HighestBiologyScore","HighestChemistryScore","HighestPhysicsScore","HighestEngineeringScore","HighestMathematicsScore","HighestPsychologyScore","HighestOtherScienceScore1","HighestOtherScienceScore2","STEMscore"
67591,20,"Male","English","UK","16",10,10,14,14,14,0,0,0,24
69220,21,"Female",NA,"UK","16",10,10,10,0,10,0,0,0,20
69417,55,"Female","English","UK","16",10,8,8,0,0,8,14,0,18
69655,23,"Male","English","UK","20",10,10,10,10,10,16,0,0,20
69745,24,"Female","English","UK","20",10,10,10,0,14,0,0,0,20
69964,45,"female","Other","UK","18",10,10,10,0,10,0,0,0,20
69979,19,"male","English","UK","16",10,10,10,0,10,0,0,0,20
70310,19,"female","English","UK","16",14,14,10,0,10,14,0,0,24
70850,30,"male","English","UK","16",0,0,0,16,0,0,0,0,0
71383,24,"Male","English","UK","20",10,10,10,8,10,10,0,0,20
71458,21,"Male","English","UK","16",10,10,10,10,10,10,0,0,20
71885,22,"Male","English","UK","16",10,10,14,8,14,8,14,0,24
72301,18,"Female","English","UK","16",10,10,10,0,10,14,0,0,20
72320,18,"Male","English","UK","16",10,10,14,0,14,0,0,0,24
72398,23,"Male","English","UK","14",10,10,14,16,14,0,0,0,24
72484,46,"female","English","UK","16",8,8,10,0,10,0,0,0,18
72653,21,"Male","English","UK","16",10,10,10,0,10,14,0,0,20
72913,20,"Female","English","UK","16",10,10,10,0,10,10,0,0,20
73103,23,"Male","English","UK","20",10,10,10,10,14,0,16,0,20
74194,25,"Female","English","UK","16",10,10,10,10,10,10,0,0,20
75705,20,"Female","English","UK","16",10,10,10,10,10,10,0,0,20
75971,22,"female","English","UK","16",10,10,10,0,10,0,0,0,20
75992,22,"female","English","UK","20",14,10,10,0,20,0,0,0,24
76205,20,"Male","English","UK","16",10,10,10,14,14,0,0,0,20
76328,24,"male","English","UK","20",10,10,10,0,14,0,0,0,20
76789,20,"male","English","UK","16",14,14,10,8,10,8,0,0,24
77777,NA,NA,NA,"UK","",NA,NA,NA,NA,NA,NA,0,0,NA
78146,21,"female","English","UK","16",18,14,10,0,14,0,0,0,28
78263,28,"female","English","UK","16",10,10,10,0,10,0,0,0,20
78632,21,"male","English","UK","14",14,14,14,0,10,0,0,0,28
78672,22,"Female","English","UK","16",14,14,10,0,10,14,14,14,24
79324,28,"Female","English","UK","24",22,22,0,0,22,14,22,22,22
79408,20,"Female","English","UK","16",10,10,10,10,14,14,0,0,20
81561,19,"Female","English","UK","16",14,10,10,0,14,14,0,0,24
82999,21,"female","English","UK","16",14,14,10,0,14,0,10,0,24
83164,23,"female","English","UK","20",10,10,10,10,10,10,10,10,20
83277,20,"Male","English","UK","10",10,0,0,10,10,0,0,0,10
84363,27,"Male","English","UK","24",10,10,10,0,14,0,10,10,20
84475,24,"male","English","UK","20",10,10,10,10,10,0,18,0,20
84709,18,"Female","English","UK","16",10,10,10,0,10,14,0,0,20
85164,22,"Male","English","UK","20",10,10,10,0,10,14,0,0,20
85373,32,"female","English","UK","16",10,10,10,0,10,14,0,0,20
86405,24,"Male","English","UK","20",10,14,14,16,14,0,0,0,24
86485,24,"Male","English","UK","24",10,10,14,10,22,10,0,0,24
