"ParticipantID","CB_ACC","CB_RTc","CB_LogRTc","CB_LogRTperC","CB_RTperCcorrect","CB_ACC_forward","CB_RTc_forward","CB_LogRTc_1","CB_LogRTperC_forward","CB_LogRTc_1_forward","CB_RTperCcorrect_forward","CB_ACC_backward","CB_RTc_backward","CB_LogRTc_backward","CB_LogRTc_1_backward","CB_RTperCcorrect_back","CB_Totalclick","CB_Correctclick","CB_Totalclick_forward","CB_Correctclick_forward","CB_Totalclick_backward","CB_Correctclick_backward","CB_EFF","CB_EFF_forward","CB_EFF_backward"
13662,0.65625,4.82327666666667,0.624772779883653,0.0474852645586777,1.10564838227513,0.625,4.183652,0.724868438731192,0.0374494702438293,0.695654124543949,1.09310064583333,0.6875,5.40475363636364,0.653993933611624,0.751426906174141,1.11705541540404,5.4375,4.34375,5.4375,4.125,5.4375,4.5625,0.136058958536486,0.149391010533381,0.127202837771262
13764,0.625,2.4866,0.378998432097473,-0.2224618613716,0.647317380952381,0.625,2.6847,0.534064616501742,-0.186715666251716,0.558354178018943,0.679310952380952,0.625,2.2885,0.344743127489815,0.50977505498454,0.615323809523809,5.375,4.375,5.5,4.3125,5.25,4.4375,0.251347221105123,0.232800685365218,0.273104653703299
14746,0.59375,2.61474736842105,0.387763906737644,-0.094745580075873,0.670946979949875,0.625,2.31672,0.543015517836816,-0.107038386781731,0.506345583098482,0.590352095238095,0.5625,2.94588888888889,0.446782259264066,0.583759889768299,0.760496851851852,4.65625,3.34375,5,3.875,4.3125,2.8125,0.227077386967041,0.2697779619462,0.190944065175574
14967,0.6875,6.05426363636364,0.713876403597902,0.137791241914647,1.43451438672439,0.5625,6.6072,0.798431666246987,0.268851336677485,0.825034266188961,1.84713867724868,0.8125,5.67146153846154,0.6921660253197,0.780014481671774,1.14885141636142,5.46875,4.75,5.5625,4.4375,5.375,5.0625,0.113556336706363,0.0851343988376317,0.143261131983344
15940,0.65625,2.8556719047619,0.40499869991033,-0.191979608622528,0.772124363945578,0.625,3.049614,0.558005682432112,-0.154439429199189,0.573450510149189,0.920168673809524,0.6875,2.67936090909091,0.387241513791387,0.543964929962042,0.637538627705628,5.5,4.1875,5.5,4.125,5.5,4.25,0.229805811692053,0.204943969958165,0.256591039179289
16021,0.5625,2.05775555555556,0.29725066800037,-0.227286931163835,0.562693452380952,0.5625,2.2316,0.478535695792607,-0.198188649140549,0.50427518048491,0.601804497354497,0.5625,1.88391111111111,0.256688486231013,0.452796211100304,0.523582407407407,5.5,3.96875,5.5,4.125,5.5,3.8125,0.273356083759004,0.252061301308478,0.29858096631122
16062,0.75,2.59312916666667,0.380407979537918,-0.234694713146312,0.592451941137566,0.8125,2.51326153846154,0.53878005071389,-0.272093927686323,0.52671761867994,0.545406623931624,0.6875,2.68751818181818,0.403512317933032,0.553035652208559,0.648050952380952,5.53125,4.71875,5.5,5.0625,5.5625,4.375,0.289225854863252,0.32328509690136,0.255812222834856
16258,0.4,6.54743333333333,0.757506888082694,0.382545724387908,1.86975791666667,0.285714285714286,3.365125,0.835638432531079,0.260910114244986,0.626860690122781,1.1317375,0.5,8.1385875,0.883615408049627,0.940027303735227,2.238768125,5.6,3.66666666666667,5.64285714285714,3.57142857142857,5.5625,3.75,0.0610926419003885,0.084904508960079,0.0614357221077982
16448,0.214285714285714,3.04703333333333,0.460309375475602,-0.279795958271254,0.935289166666667,0,NA,0.594781838507063,-0.52411432892086,NA,NA,0.4,3.04703333333333,0.460309375475602,0.594781838507063,0.935289166666667,3,1.67857142857143,1,0.0769230769230769,4.73333333333333,3.06666666666667,0.0703260157811579,NA,0.131275229458162
16726,0.566666666666667,2.70717647058824,0.421044736511014,-0.123974610152512,0.804516666666667,0.6,2.84773333333333,0.562976285456511,-0.127817861672293,0.577173047461677,0.791155555555556,0.533333333333333,2.54905,0.40037329327763,0.5470049282007,0.819547916666667,5.13333333333333,3.6,5.26666666666667,3.93333333333333,5,3.26666666666667,0.209320180203671,0.210693885195243,0.209228274585957
17158,0.67741935483871,3.05619523809524,0.458666488321777,-0.144909157435958,0.740570442176871,0.6,3.0739,0.594051980513322,-0.139773076058184,0.59238845755651,0.706056005291005,0.75,3.04291666666667,0.461977088131757,0.59529962273093,0.76645626984127,5.29032258064516,4.29032258064516,5.2,4.06666666666667,5.375,4.5,0.22165447625686,0.195191775919841,0.246474051759551
17608,0.71875,2.57539130434783,0.371344955710345,-0.207103517882108,0.61280569358178,0.75,2.67615,0.534257304523047,-0.21561004034097,0.542169765726288,0.628642232142857,0.6875,2.46547272727273,0.363947929575571,0.525625528664966,0.59552946969697,5.5,4.53125,5.5,4.75,5.5,4.3125,0.279083803221123,0.280253349027521,0.278851188413065
17615,0.6875,2.52635454545455,0.363043518644675,-0.248717250719636,0.552609312770563,0.625,2.37453,0.527780888346216,-0.287277523614068,0.506346776037188,0.49738630952381,0.75,2.652875,0.38983641415057,0.545642648603739,0.598628482142857,5.5,4.5,5.625,4.5,5.375,4.5,0.272131241926024,0.263209982607084,0.282712151910663
17715,0.53125,2.68502941176471,0.414151034966807,-0.0738528473282168,0.816241078431373,0.5,2.4088875,0.558609090978868,-0.101543262163806,0.526444279494624,0.742916666666667,0.5625,2.93048888888889,0.453922915179072,0.587200034520419,0.881418333333333,4.71875,3.84375,4.8125,4,4.625,3.6875,0.197856305659923,0.207564695320973,0.19194749454016
18428,0.5625,3.52801666666667,0.52111614543425,-0.0690720456827715,0.972684153439154,0.625,4.06095,0.639534144125077,-0.0411142504322794,0.686308125022105,1.06931980952381,0.5,2.86185,0.445684028410753,0.581066668003793,0.851889583333333,5.03125,3.25,4.875,3.75,5.1875,2.75,0.159438022307151,0.153904874475184,0.174712161713577
18865,0.53125,3.35976470588235,0.496629394229673,-0.0771737376031621,0.824972549019608,0.5,3.1699375,0.622149232913967,-0.102673778659205,0.60873394962756,0.82415625,0.5625,3.5285,0.509996449983599,0.634073929168551,0.825698148148148,5.625,3.59375,5.75,3.5625,5.5,3.625,0.158121191960221,0.157731816479032,0.159416182513816
19059,0.65625,3.45620952380952,0.47659504644833,-0.0856489831842717,0.7958658276644,0.5625,2.85694444444444,0.611469136821616,-0.0807109355524392,0.572807148552736,0.759945,0.75,3.90565833333333,0.510605876706646,0.640465628023277,0.822806448412699,5.5,4,5.4375,3.5625,5.5625,4.4375,0.189875641357722,0.196888672824502,0.19202908600556
20521,0.59375,2.65591894736842,0.399932346425601,-0.181479326582804,0.694929056390977,0.6875,2.63960818181818,0.550456101075373,-0.201307315698129,0.550902091264443,0.6632794004329,0.5,2.67834625,0.396663769064291,0.5498428645654,0.738447333333333,5.4375,3.65625,5.5,4.125,5.375,3.1875,0.223557274060757,0.260455322398056,0.186682360430434
21049,0.6875,3.07658545454545,0.459320016000448,-0.124325737212275,0.748999484036797,0.75,3.26947333333333,0.594100444616783,-0.130697321308844,0.61053803588611,0.748181297123016,0.625,2.84512,0.434416403872427,0.57437533509359,0.749981308333333,5.5,4.5625,5.5,4.8125,5.5,4.3125,0.223462019877999,0.229394744515427,0.219674389832415
21072,0.65625,3.08838095238095,0.45189796243643,-0.130251221683607,0.762300277777778,0.625,2.88146,0.589415084142178,-0.130151743274941,0.573940662967397,0.763036833333333,0.6875,3.27649090909091,0.470463796345345,0.603482739755615,0.761630681818182,5.40625,4.21875,5.4375,4.25,5.375,4.1875,0.212489977796966,0.21690393064627,0.209828142081051
21362,0.53125,4.437,0.558952594709596,0.0613337227437122,1.13788770308123,0.5,3.2491125,0.674590938614257,-0.0633783913329837,0.618473675589915,0.983339583333333,0.5625,5.4929,0.615695982893454,0.72447295019145,1.27526380952381,5.34375,3.65625,5.4375,3.75,5.25,3.5625,0.119731800766284,0.15388817715607,0.102404922718418
22222,0.5,1.94809375,0.264697996417722,-0.318665191888925,0.53448818452381,0.625,2.10582,0.458204181807125,-0.272336658005557,0.476633967506961,0.556571428571429,0.375,1.68521666666667,0.222999591321684,0.427487872307398,0.497682777777778,5.4375,3.375,5.5,3.5625,5.375,3.1875,0.25666115914596,0.296796497326457,0.222523315498502
22799,0.53125,2.52530882352941,0.387005722718636,-0.131410019430412,0.674397470588236,0.5625,2.53494777777778,0.539487382929455,-0.141076668219863,0.537415456371694,0.611849064814815,0.5,2.514465,0.392220603406302,0.541818300306937,0.744764427083334,5.09375,3.53125,5.125,3.75,5.0625,3.3125,0.21037030997956,0.22189806233133,0.198849457041558
22927,0.571428571428571,1.39931666666667,0.11331214844262,-0.387596418826226,0.388411011904762,0.636363636363636,1.39877142857143,0.369042404345783,-0.408362218360612,0.365512189302522,0.359975306122449,0.5,1.40008,0.126680398441476,0.373984705406349,0.428221,4.14285714285714,3.23809523809524,4,3.27272727272727,4.3,3.2,0.408362585139345,0.454944691723906,0.357122450145706
23326,0.59375,3.04735789473684,0.441647020200268,-0.141512459177049,0.844910043859649,0.5625,3.4947,0.583521182577055,-0.120164948892635,0.616745463061353,1.00701009259259,0.625,2.64475,0.406556047540073,0.553619330141186,0.69902,5.53125,4.0625,5.5,4.375,5.5625,3.75,0.194840914821813,0.160958022147824,0.236317232252576
