"ParticipantID","Age","Gender","CN_FirstLanguage","Site","EducationScore","CurrentEdScore","HighestEdScore","HighestBiologyScore","HighestChemistryScore","HighestPhysicsScore","HighestEngineeringScore","HighestMathematicsScore","HighestPsychologyScore","HighestOtherScienceScore","STEMscore"
62415,"25","Male","Chinese","CN","0_24_NA_NA",24,0,0,0,0,0,0,0,20,0
62705,"20","Male","Chinese","CN","0_16_NA_NA",16,0,12,12,14,0,14,0,0,26
63424,"18","Female","Chinese","CN","0_16_NA_NA",16,0,10,10,10,0,12,0,0,20
63525,"25","Female","Chinese","CN","0_NA_NA",0,NA,18,14,14,20,14,14,0,32
63685,"21","Female","Chinese","CN","0_16_NA_NA",16,0,12,12,12,12,12,NA,14,24
64203,"25","Male","Chinese","CN","0_20_NA_NA",20,0,12,12,18,18,14,0,0,30
64263,"19","Female","Chinese","CN","0_16_NA_NA",16,0,12,12,12,10,12,0,0,24
64310,"19","Female","Chinese","CN","0_16_NA_NA",16,0,12,12,12,0,12,0,0,24
64405,"27","Male","Chinese","CN","0_24_NA_NA",24,0,12,12,16,22,16,0,0,28
65348,"23",NA,NA,"CN","0_24_NA_NA",24,0,8,NA,8,0,NA,14,0,16
66088,"19","Female","Chinese","CN","0_16_NA_NA",16,0,8,14,12,0,14,10,14,20
66400,"18","Male","Chinese","CN","0_16_NA_NA",16,0,12,12,12,0,12,0,0,24
66857,"26","Female","Chinese","CN","0_20_NA_NA",20,0,10,10,10,10,10,0,0,20
67504,"26","Female","Chinese","CN","0_24_NA_NA",24,0,12,22,22,20,12,0,16,34
68081,"25",NA,NA,"CN","0_24_NA_NA",24,0,NA,NA,NA,0,20,0,22,NA
68315,"20","Female","Chinese","CN","0_16_NA_NA",16,0,12,12,14,14,14,0,14,26
68548,"25","Male","Chinese","CN","0_20_NA_NA",20,0,12,12,12,0,12,0,0,24
69310,"24","Female","Chinese","CN","0_NA_NA",0,NA,20,14,14,16,14,0,0,34
69511,"18","Female","Chinese","CN","0_16_NA_NA",16,0,12,12,12,0,12,0,0,24
69626,"25","Male","Chinese","CN","0_20_NA_NA",20,0,14,18,14,14,14,0,0,28
69703,"21","Male","Chinese","CN","0_16_NA_NA",16,0,12,12,12,0,12,0,0,24
69714,"21","Male","Chinese","CN","0_16_NA_NA",16,0,10,10,12,0,12,14,0,22
69720,"24","Female","Chinese","CN","0_24_NA_NA",24,0,22,14,14,18,16,14,0,36
70104,"27","Female","Chinese","CN","0_NA_NA",0,NA,12,14,14,0,16,14,16,26
70172,"22","Male","Chinese","CN","0_16_NA_NA",16,0,12,12,12,0,12,14,0,24
70531,"27","Female","Chinese","CN","0_24_NA_NA",24,0,12,12,12,14,14,14,0,24
70661,"25","Male","Chinese","CN","0_20_NA_NA",20,0,12,12,12,0,12,0,0,24
70695,"26","Female","Chinese","CN","0_NA_NA",0,NA,20,14,14,0,14,18,0,34
71259,"23","Male","Chinese","CN","0_20_NA_NA",20,0,12,12,12,14,16,14,0,24
72547,"21","Male","Chinese","CN","0_20_NA_NA",20,0,8,12,12,10,12,14,0,20
72608,"24","Male","Chinese","CN","0_16_NA_NA",16,0,12,12,12,12,14,12,16,24
72828,"27","Male","Chinese","CN","0_NA_NA",0,NA,12,12,12,12,14,0,0,24
72903,"19","Male","Chinese","CN","0_16_NA_NA",16,0,12,12,12,0,12,0,0,24
73135,"19","Male","Chinese","CN","0_16_NA_NA",16,0,12,12,12,12,14,10,0,24
73286,"19","Female","Chinese","CN","0_16_NA_NA",16,0,12,12,12,0,14,0,0,24
73527,"18","Female","Chinese","CN","0_16_NA_NA",16,0,12,0,12,0,12,14,0,24
73639,"25","Male","Chinese","CN","0_20_NA_NA",20,0,0,0,0,16,0,0,0,0
74024,"18","Male","Chinese","CN","0_16_NA_NA",16,0,12,12,14,14,14,0,0,26
74090,"24","Male","Chinese","CN","0_20_NA_NA",20,0,12,12,12,0,12,14,0,24
74315,"33","Female","Chinese","CN","0_24_NA_NA",24,0,12,12,14,14,14,20,20,26
74389,"22","Male","Chinese","CN","0_16_NA_NA",16,0,12,12,14,0,14,0,0,26
74680,"22","Male","Chinese","CN","0_20_NA_NA",20,0,10,10,10,18,18,0,0,20
75395,"20","Male","Chinese","CN","0_16_NA_NA",16,0,14,14,14,14,14,14,0,28
75739,"24","Female","Chinese","CN","0_24_NA_NA",24,0,12,18,22,22,14,0,0,34
75864,"22","Female","Chinese","CN","0_20_NA_NA",20,0,12,12,12,0,16,0,0,24
76377,"21","Male","Chinese","CN","0_16_NA_NA",16,0,12,12,12,12,14,14,10,24
76762,"20","Female","Chinese","CN","0_16_NA_NA",16,0,12,12,14,0,14,8,0,26
76803,"20","Female","Chinese","CN","0_16_NA_NA",16,0,12,12,12,12,12,0,0,24
77969,"20","Male","Chinese","CN","0_16_NA_NA",16,0,14,14,14,0,14,0,0,28
79183,"23","Female","Chinese","CN","0_16_NA_NA",16,0,12,8,8,0,14,0,14,20
79509,"21","Female","Chinese","CN","0_16_NA_NA",16,0,12,12,12,12,14,14,14,24
79659,"29","Female","Chinese","CN","0_24_NA_NA",24,0,12,12,12,0,12,18,0,24
80179,"29","Male","Chinese","CN","0_20_NA_NA",20,0,12,12,8,0,12,0,16,20
80490,"26","Male","Chinese","CN","0_24_NA_NA",24,0,16,12,12,16,12,0,0,28
80497,"21","Male","Chinese","CN","0_16_NA_NA",16,0,12,12,12,0,12,0,0,24
80785,"27","Female","Chinese","CN","0_24_NA_NA",24,0,0,0,0,22,0,0,0,0
81548,"25","Female","Chinese","CN","0_20_NA_NA",20,0,0,0,0,16,0,0,0,0
81878,"22","Female","Chinese","CN","0_20_NA_NA",20,0,12,12,12,0,12,0,0,24
81898,"25","Male","Chinese","CN","0_24_NA_NA",24,0,14,14,18,14,18,14,22,32
82083,"23","Male","Chinese","CN","0_24_NA_NA",24,0,14,14,22,10,14,0,0,36
82341,"19","Male","Chinese","CN","0_16_NA_NA",16,0,12,12,14,14,14,0,0,26
83038,"24","Male","Chinese","CN","0_24_NA_NA",24,0,12,12,12,10,12,10,0,24
83463,"20","Male","Chinese","CN","0_16_NA_NA",16,0,8,10,12,0,12,0,0,20
83735,"21","Female","Chinese","CN","0_16_NA_NA",16,0,12,12,12,0,12,0,0,24
84474,"20","Female","Chinese","CN","0_16_NA_NA",16,0,12,12,12,12,14,14,0,24
85025,"21","Male","Chinese","CN","0_16_NA_NA",16,0,NA,NA,10,0,12,14,0,NA
85733,"19","Male","Chinese","CN","0_16_NA_NA",16,0,NA,10,10,0,10,14,0,NA
85970,"21","Male","Chinese","CN","0_16_NA_NA",16,0,12,12,12,12,12,12,12,24
86351,"19","Male","Chinese","CN","0_16_NA_NA",16,0,12,12,12,0,14,14,0,24
86394,"27","Male","Chinese","CN","0_24_NA_NA",24,0,12,12,18,20,18,0,0,30
86424,"28","Male","Chinese","CN","0_NA_NA",0,NA,12,12,12,20,14,0,0,24
86602,"25","Female","Chinese","CN","0_20_NA_NA",20,0,0,0,0,20,0,0,0,0
86726,"24","Male","Chinese","CN","0_24_NA_NA",24,0,14,14,22,16,22,14,0,36
87839,"19","Female","Chinese","CN","0_15_NA_NA",15,0,12,10,10,0,12,0,0,22
88062,"18","Male","Chinese","CN","0_16_NA_NA",16,0,12,12,14,12,14,12,0,26
88190,"26","Male","Chinese","CN","0_24_NA_NA",24,0,22,10,10,0,14,20,0,32
88236,"20","Female","Chinese","CN","0_16_NA_NA",16,0,14,14,14,0,14,0,0,28
88463,"21","Male","Chinese","CN","0_16_NA_NA",16,0,12,12,12,12,12,0,0,24
89269,"18","Male","Chinese","CN","0_16_NA_NA",16,0,12,12,12,0,12,0,0,24
90069,"19","Female","Chinese","CN","0_16_NA_NA",16,0,12,12,12,12,14,12,0,24
91451,"24","Female","Chinese","CN","0_20_NA_NA",20,0,14,16,8,20,18,0,16,22
91731,"20","Female","Chinese","CN","0_16_NA_NA",16,0,12,12,12,0,12,0,0,24
91907,"26","Female","Chinese","CN","0_NA_NA",0,NA,12,12,12,0,14,14,0,24
92795,"18","Male","Chinese","CN","0_16_NA_NA",16,0,14,14,14,0,14,10,0,28
93352,"22","Male","Chinese","CN","0_16_NA_NA",16,0,8,14,14,16,14,0,0,22
94759,"21","Female","Chinese","CN","0_16_NA_NA",16,0,10,10,10,10,14,14,0,20
95088,"26","Male","Chinese","CN","0_24_NA_NA",24,0,16,14,12,0,22,14,16,28
95591,"25",NA,"Chinese","CN","0_24_NA_NA",24,0,12,12,12,0,12,0,0,24
95802,"31","Male","Chinese","CN","0_24_NA_NA",24,0,10,10,10,0,12,14,0,20
96229,"25",NA,"Chinese","CN","0_20_NA_NA",20,0,10,10,14,0,14,0,16,24
96515,"24","Male","Chinese","CN","0_20_NA_NA",20,0,12,12,12,16,14,18,0,24
96579,"19","Female","Chinese","CN","0_16_NA_NA",16,0,12,12,12,0,14,14,0,24
97460,"19","Female","Chinese","CN","0_16_NA_NA",16,0,12,12,12,0,14,0,0,24
97596,"19","Female","Chinese","CN","0_16_NA_NA",16,0,12,12,12,0,12,0,0,24
98811,"24","Female","Chinese","CN","0_24_NA_NA",24,0,12,12,12,0,14,14,0,24
99010,"18","Male","Chinese","CN","0_16_NA_NA",16,0,12,12,12,0,12,0,0,24
99368,"22","Male","Chinese","CN","0_NA_NA",0,NA,12,12,12,0,12,0,0,24
99761,"22","Male","Chinese","CN","0_16_NA_NA",16,0,12,12,12,0,14,0,0,24
99798,"19","Male","Chinese","CN","0_16_NA_NA",16,0,12,12,14,14,14,0,0,26
