"ParticipantID","CB_ACC","CB_RTc","CB_LogRTc","CB_LogRTperC","CB_RTperCcorrect","CB_ACC_forward","CB_RTc_forward","CB_LogRTc_1","CB_LogRTperC_forward","CB_LogRTc_1_forward","CB_RTperCcorrect_forward","CB_ACC_backward","CB_RTc_backward","CB_LogRTc_backward","CB_LogRTc_1_backward","CB_RTperCcorrect_back","CB_Totalclick","CB_Correctclick","CB_Totalclick_forward","CB_Correctclick_forward","CB_Totalclick_backward","CB_Correctclick_backward","CB_EFF","CB_EFF_forward","CB_EFF_backward"
90054,0.65625,2.35172380952381,0.336316844601515,-0.260672944805582,0.571361337868481,0.625,2.20742,0.507662596069605,-0.249600617487151,0.49557570877515,0.575182666666667,0.6875,2.48290909090909,0.351080581788389,0.518650675428201,0.567887402597403,5.53125,4.4375,5.6875,4.375,5.375,4.5,0.279050625478373,0.283135968687427,0.276892940831869
90177,0.59375,2.38216842105263,0.344084537902261,-0.22279625607805,0.626509912280702,0.5625,2.33525555555556,0.512964096940401,-0.238767580697692,0.507399318466422,0.621855185185185,0.625,2.42439,0.350690791550422,0.517972397566981,0.630699166666667,5.21875,3.59375,5.375,3.8125,5.0625,3.375,0.249247700016791,0.240872995104033,0.257796806619397
90724,0.8125,2.07393846153846,0.209429449586203,-0.417269996208275,0.397840128205128,0.875,1.90704285714286,0.440020778806366,-0.415998648050035,0.442934928255205,0.390031700680272,0.75,2.26865,0.185568607334228,0.436620937782721,0.40694996031746,5.46875,4.625,5.5,4.8125,5.4375,4.4375,0.391766686942718,0.458825556396216,0.330593083992683
90734,0.67741935483871,2.5882380952381,0.38848969418956,-0.20264742283437,0.603972785336357,0.666666666666667,2.46387,0.542414342641508,-0.222404868793414,0.531788565505266,0.579819333333333,0.6875,2.7013,0.400587070944989,0.552074140038091,0.625930468975469,5.19354838709677,4.41935483870968,5.33333333333333,4.66666666666667,5.0625,4.1875,0.261729922021101,0.270577046137445,0.254507089179284
90967,0.71875,2.92736086956522,0.421285883438892,-0.161666887513817,0.759308074534161,0.8125,2.94078461538462,0.569438993643648,-0.207422069382532,0.566041696022473,0.771144798534799,0.625,2.90991,0.429444315359591,0.573855480551175,0.743920333333333,5.375,4,5.375,4.5625,5.375,3.4375,0.245528321250926,0.276286809904212,0.214783275084109
91007,0.5625,2.38666111111111,0.357416150788879,-0.221165474546369,0.657446574074074,0.5625,2.28734444444444,0.519851534129427,-0.234197104758507,0.50654223291172,0.622251111111111,0.5625,2.48597777777778,0.377262453433276,0.533160835347133,0.692642037037037,4.96875,3.625,5,3.5,4.9375,3.75,0.235684906156672,0.245918362390156,0.226269118343777
91291,0.625,2.49578,0.372169146891617,-0.231873105979317,0.613472964285714,0.6875,2.53442727272727,0.531334918663461,-0.234051493608117,0.535639266872189,0.614077597402597,0.5625,2.44854444444444,0.364769883409708,0.526074048630573,0.612733968253968,5.375,4.375,5.5,4.75,5.25,4,0.250422713540456,0.271264442029219,0.22972831931896
91483,0.5625,2.19900555555556,0.327657661385207,-0.21668502861979,0.626343333333333,0.5625,2.25993333333333,0.498029805044497,-0.228331243147079,0.505719639122027,0.648133333333333,0.5625,2.13807777777778,0.316900155637789,0.490339970966967,0.604553333333333,4.96875,3.75,5.125,4.0625,4.8125,3.4375,0.255797443794038,0.248901147526476,0.263086780961092
91710,0.53125,1.86664529411765,0.224036701810616,-0.399573513194549,0.476632745564893,0.75,1.89723625,0.43953552909855,-0.413890898246219,0.439592654088539,0.448044722883598,0.3125,1.793227,0.237839044715047,0.439398429122574,0.545244,5.53125,3.875,5.5,4.6875,5.5625,3.0625,0.284601472852998,0.395311864824426,0.174266838498417
91791,0.5625,2.42033611111111,0.351680755095794,-0.193615876394681,0.624971518518519,0.5625,2.48385555555556,0.518292529050117,-0.206785830615581,0.526787643530724,0.641004334656085,0.5625,2.35681666666667,0.338445725381264,0.509797414569511,0.608938702380952,5.125,3.75,5.0625,4.1875,5.1875,3.3125,0.23240573795421,0.226462444139264,0.238669391622881
92046,0.53125,3.20450588235294,0.465544735329775,-0.105444557058165,0.811198970588235,0.6875,3.68191818181818,0.600869147622304,-0.0671638940829452,0.648391462694897,0.871585075757576,0.375,2.32925,0.348705098801829,0.513744903322549,0.700491111111111,5.5,3.84375,5.5,4.5,5.5,3.1875,0.165782189049977,0.186723323564051,0.160996028764624
92505,0.5,2.46411875,0.37318992610233,-0.20520287744848,0.7219921875,0.5,2.715,0.52974350205238,-0.170472849822954,0.557502565381208,0.779981041666667,0.5,2.2132375,0.334742701205799,0.501984438723553,0.664003333333334,4.625,3.28125,4.6875,3.5,4.5625,3.0625,0.202912298768069,0.184162062615101,0.225913396099605
92892,0.46875,1.88197333333333,0.250796524928087,-0.294146476989193,0.602449365079365,0.5625,2.10347777777778,0.448840208197282,-0.275502595002218,0.477980411456948,0.656892645502646,0.375,1.54971666666667,0.18660833650743,0.405129903307784,0.520784444444444,5.375,2.9375,5.4375,3.1875,5.3125,2.6875,0.24907366735625,0.267414282167627,0.241979716722412
93233,0.4375,2.70402857142857,0.400763877421538,-0.159869360198687,0.767241156462585,0.375,2.67628333333333,0.552156148924929,-0.166506006725817,0.534782826650982,0.668222420634921,0.5,2.7248375,0.424620842128192,0.56518614063039,0.841505208333333,4.78125,3.4375,4.625,3.25,4.9375,3.625,0.161795627687789,0.140119693355836,0.183497181024557
93694,0.75,2.26456666666667,0.302210332204543,-0.316574714029331,0.496106567460317,0.8125,2.22321538461538,0.48798955687402,-0.347474480470963,0.485168904311387,0.474710201465201,0.6875,2.31343636363636,0.307534884393313,0.491323055357132,0.521393181818182,5.375,4.40625,5.5,4.6875,5.25,4.125,0.331189189984839,0.3654616667474,0.297176966181752
94127,0.625,2.418835,0.357075639020285,-0.249737154462581,0.664599607142857,0.625,2.15601,0.521632512784664,-0.307170455013656,0.481888871535532,0.588097380952381,0.625,2.68166,0.419498514444501,0.561376154033797,0.741101833333333,5.5,4.09375,5.4375,4.25,5.5625,3.9375,0.258388852484771,0.289887338184888,0.233064594318445
94468,0.6875,2.56100681818182,0.295989462702698,-0.288995805043101,0.557258846320346,0.625,2.8169515,0.494324607584756,-0.247082395408556,0.513034556989475,0.647577030952381,0.75,2.34771958333333,0.276936220363083,0.478732983080823,0.481993692460317,5.40625,4.28125,5.375,4.125,5.4375,4.4375,0.268449109592019,0.221871054577972,0.319458935949726
